url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/shree-katyayani-residency-gokarna.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1138181701_403828212_0_0_0&highlighted_blocks=1138181701_403828212_0_0_0&matching_block_id=1138181701_403828212_0_0_0&sr_pri_blocks=1138181701_403828212_0_0_0__900000&from=searchresults,"{""Staff"": ""7.6"", ""Facilities"": ""6.6"", ""Cleanliness"": ""7.0"", ""Comfort"": ""6.6"", ""Value_for_money"": ""6.7"", ""Location"": ""7.4""}","[""Free WiFi"", ""Room service"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle (free)"", ""Bar""]",11:00,
https://www.booking.com/hotel/in/bele-beach-front-inn.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1335211201_407767158_2_42_0_761979&highlighted_blocks=1335211201_407767158_2_42_0_761979&matching_block_id=1335211201_407767158_2_42_0_761979&sr_pri_blocks=1335211201_407767158_2_42_0_761979_1100000&from=searchresults,"{""Staff"": ""9.7"", ""Facilities"": ""8.7"", ""Cleanliness"": ""9.5"", ""Comfort"": ""9.7"", ""Value_for_money"": ""9.3"", ""Location"": ""8.8"", ""Free_WiFi"": ""5.0""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Restaurant"", ""Beachfront"", ""Family rooms"", ""Airport shuttle"", ""Breakfast""]",09:30,
https://www.booking.com/hotel/in/samrudhii-resort-gokarna.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1351136204_408300366_2_42_0&highlighted_blocks=1351136204_408300366_2_42_0&matching_block_id=1351136204_408300366_2_42_0&sr_pri_blocks=1351136204_408300366_2_42_0__2400000&from=searchresults,"{""Staff"": ""7.5"", ""Facilities"": ""6.8"", ""Cleanliness"": ""7.3"", ""Comfort"": ""7.6"", ""Value_for_money"": ""6.6"", ""Location"": ""7.7""}","[""Outdoor swimming pool"", ""Free parking"", ""Non-smoking rooms"", ""Family rooms"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",08:00,
https://www.booking.com/hotel/in/sea-king-beach-stay.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1382839502_410355441_3_0_0&highlighted_blocks=1382839502_410355441_3_0_0&matching_block_id=1382839502_410355441_3_0_0&sr_pri_blocks=1382839502_410355441_3_0_0__1080000&from=searchresults,"{""Staff"": ""9.5"", ""Facilities"": ""9.0"", ""Cleanliness"": ""9.0"", ""Comfort"": ""9.5"", ""Value_for_money"": ""9.0"", ""Location"": ""9.5""}","[""Free parking"", ""Non-smoking rooms"", ""Beachfront"", ""Family rooms"", ""Free cot available on request""]",09:00,
https://www.booking.com/hotel/in/homestay-nandana-2nd-floor-gokarna.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1410473501_412801574_3_0_0&highlighted_blocks=1410473501_412801574_3_0_0&matching_block_id=1410473501_412801574_3_0_0&sr_pri_blocks=1410473501_412801574_3_0_0__690000&from=searchresults,"{""Staff"": ""8.8"", ""Facilities"": ""8.8"", ""Cleanliness"": ""10"", ""Comfort"": ""8.8"", ""Value_for_money"": ""8.8"", ""Location"": ""8.8""}","[""Free WiFi"", ""Free parking""]",00:00,
https://www.booking.com/hotel/in/gangotri-cafe-and-rooms.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1219594802_394122637_3_0_0&highlighted_blocks=1219594802_394122637_3_0_0&matching_block_id=1219594802_394122637_3_0_0&sr_pri_blocks=1219594802_394122637_3_0_0__839400&from=searchresults,"{""Location"": ""9.4"", ""Cleanliness"": ""8.1"", ""Value_for_money"": ""9.4""}","[""Free WiFi"", ""Family rooms"", ""Restaurant"", ""Parking""]",,
https://www.booking.com/hotel/in/golden-gate-gokarna.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1342871801_406671084_3_0_0&highlighted_blocks=1342871801_406671084_3_0_0&matching_block_id=1342871801_406671084_3_0_0&sr_pri_blocks=1342871801_406671084_3_0_0__1428000&from=searchresults,"{""Staff"": ""7.5"", ""Facilities"": ""6.9"", ""Cleanliness"": ""7.5"", ""Comfort"": ""7.2"", ""Value_for_money"": ""7.8"", ""Location"": ""7.5""}","[""Free parking""]",11:00,
https://www.booking.com/hotel/in/gokarna-beach-cottages.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1269392301_399679588_3_0_0&highlighted_blocks=1269392301_399679588_3_0_0&matching_block_id=1269392301_399679588_3_0_0&sr_pri_blocks=1269392301_399679588_3_0_0__972000&from=searchresults,{},[],,
https://www.booking.com/hotel/in/navni-beach-view-stay.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1283183402_401243985_2_0_0_643119&highlighted_blocks=1283183402_401243985_2_0_0_643119&matching_block_id=1283183402_401243985_2_0_0_643119&sr_pri_blocks=1283183402_401243985_2_0_0_643119_859400&from=searchresults,"{""Location"": ""8.1"", ""Cleanliness"": ""9.3"", ""Value_for_money"": ""9.0""}",[],,
https://www.booking.com/hotel/in/dolphin-beach-stay-gokarna1.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1335186501_405990438_3_0_0&highlighted_blocks=1335186501_405990438_3_0_0&matching_block_id=1335186501_405990438_3_0_0&sr_pri_blocks=1335186501_405990438_3_0_0__1125000&from=searchresults,"{""Staff"": ""10"", ""Facilities"": ""8.8"", ""Cleanliness"": ""10"", ""Comfort"": ""8.8"", ""Value_for_money"": ""8.8"", ""Location"": ""8.8""}","[""Free WiFi"", ""Private parking"", ""Beachfront"", ""Family rooms""]",10:00,
https://www.booking.com/hotel/in/palm-breeze-gokarna.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=11&hapos=11&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1377820001_409904118_2_0_0&highlighted_blocks=1377820001_409904118_2_0_0&matching_block_id=1377820001_409904118_2_0_0&sr_pri_blocks=1377820001_409904118_2_0_0__641750&from=searchresults,"{""Staff"": ""9.4"", ""Facilities"": ""9.4"", ""Cleanliness"": ""9.4"", ""Comfort"": ""9.4"", ""Value_for_money"": ""9.4"", ""Location"": ""9.4""}","[""Free WiFi"", ""Free parking"", ""Non-smoking rooms"", ""Family rooms""]",11:00,
https://www.booking.com/hotel/in/mangrove-ecostay-gokarna.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=12&hapos=12&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1319232801_404714466_2_0_0_908442&highlighted_blocks=1319232801_404714466_2_0_0_908442&matching_block_id=1319232801_404714466_2_0_0_908442&sr_pri_blocks=1319232801_404714466_2_0_0_908442_1080000&from=searchresults,"{""Location"": ""8.6"", ""Cleanliness"": ""9.2"", ""Value_for_money"": ""8.9""}",[],,
https://www.booking.com/hotel/in/gokarna-living.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=13&hapos=13&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1338713102_406308591_3_2_0&highlighted_blocks=1338713102_406308591_3_2_0&matching_block_id=1338713102_406308591_3_2_0&sr_pri_blocks=1338713102_406308591_3_2_0__840000&from=searchresults,"{""Location"": ""7.5"", ""Cleanliness"": ""10"", ""Value_for_money"": ""10""}",[],,
https://www.booking.com/hotel/in/water-vibes-gokarna.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=14&hapos=14&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1394790003_411391601_3_2_0&highlighted_blocks=1394790003_411391601_3_2_0&matching_block_id=1394790003_411391601_3_2_0&sr_pri_blocks=1394790003_411391601_3_2_0__540000&from=searchresults,{},[],,
https://www.booking.com/hotel/in/shri-virajita-home-stay.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=15&hapos=15&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1428666801_414451010_3_0_0&highlighted_blocks=1428666801_414451010_3_0_0&matching_block_id=1428666801_414451010_3_0_0&sr_pri_blocks=1428666801_414451010_3_0_0__810000&from=searchresults,"{""Location"": ""10"", ""Cleanliness"": ""10"", ""Value_for_money"": ""10""}","[""Free parking""]",,
https://www.booking.com/hotel/in/coastal-republica.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1022214903_376078932_3_0_0&highlighted_blocks=1022214903_376078932_3_0_0&matching_block_id=1022214903_376078932_3_0_0&sr_pri_blocks=1022214903_376078932_3_0_0__2403000&from=searchresults,"{""Staff"": ""8.4"", ""Facilities"": ""8.0"", ""Cleanliness"": ""9.0"", ""Comfort"": ""9.0"", ""Value_for_money"": ""8.5"", ""Location"": ""8.0"", ""Free_WiFi"": ""8.3""}","[""Swimming Pool"", ""Free WiFi"", ""Free parking"", ""Non-smoking rooms"", ""Tea/coffee maker in all rooms""]",09:30,
https://www.booking.com/hotel/in/namaste-yoga-farm.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=17&hapos=17&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=79454309_406134102_0_2_0_760643&highlighted_blocks=79454309_406134102_0_2_0_760643&matching_block_id=79454309_406134102_0_2_0_760643&sr_pri_blocks=79454309_406134102_0_2_0_760643_2700000&from=searchresults,"{""Location"": ""9.2"", ""Cleanliness"": ""9.1"", ""Value_for_money"": ""8.0""}",[],,
https://www.booking.com/hotel/in/golden-heights-gokarna.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=18&hapos=18&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=996422302_377110361_3_42_0&highlighted_blocks=996422302_377110361_3_42_0&matching_block_id=996422302_377110361_3_42_0&sr_pri_blocks=996422302_377110361_3_42_0__1620000&from=searchresults,"{""Staff"": ""7.7"", ""Facilities"": ""7.5"", ""Cleanliness"": ""8.1"", ""Comfort"": ""7.9"", ""Value_for_money"": ""7.5"", ""Location"": ""7.8""}","[""Free parking"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle"", ""Tea/coffee maker in all rooms"", ""Bar"", ""Breakfast""]",11:00,
https://www.booking.com/hotel/in/aisiri-rooms.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=19&hapos=19&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1378086901_409930942_4_0_0&highlighted_blocks=1378086901_409930942_4_0_0&matching_block_id=1378086901_409930942_4_0_0&sr_pri_blocks=1378086901_409930942_4_0_0__900000&from=searchresults,{},"[""Free parking"", ""Non-smoking rooms"", ""Family rooms""]",00:00,
https://www.booking.com/hotel/in/mid-beach-cottage-stay.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=20&hapos=20&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=1285265003_401458281_3_0_0&highlighted_blocks=1285265003_401458281_3_0_0&matching_block_id=1285265003_401458281_3_0_0&sr_pri_blocks=1285265003_401458281_3_0_0__654000&from=searchresults,"{""Staff"": ""6.3"", ""Facilities"": ""6.1"", ""Cleanliness"": ""6.3"", ""Comfort"": ""6.3"", ""Value_for_money"": ""6.3"", ""Location"": ""5.8""}","[""Free WiFi"", ""Free parking"", ""Restaurant"", ""Family rooms"", ""Airport shuttle""]",10:00,
https://www.booking.com/hotel/in/arthigamya-spa-amp-resort-gokarna.en-gb.html?label=gokarna-in-VKOvbFwRZ45xs24a_OdV2QS392822631354%3Apl%3Ata%3Ap110%3Ap2300%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-6666149201%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=900051864&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=21&hapos=21&sr_order=popularity&srpvid=b72a5a11d23521f9&srepoch=1750078172&all_sr_blocks=656264603_357002597_3_0_0&highlighted_blocks=656264603_357002597_3_0_0&matching_block_id=656264603_357002597_3_0_0&sr_pri_blocks=656264603_357002597_3_0_0__3960000&from=searchresults,{},[],,
